genome,host,date,completeness,geo,spc,is_host_adapted,is_human_infection,temp_22,temp_25,temp_37,opt_temp,opt_ph,growth_rate,ref
GCA_026225175.1,Alnus alnobetula subsp. fruticosa,04/07/2019,NA,USA:Alaska Seward Peninsula,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000744
GCA_002086155.1,,,98.96,,angelicum,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000642#tab2
GCF_002086155.1,,,98.96,,angelicum,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000642#tab3
GCA_025822405.1,Pterophyllum scalare,2003-11,99.29,Slovenia: Ljubljana,angelicum,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000642#tab4
GCF_025822405.1,Pterophyllum scalare,2003-11,99.29,Slovenia: Ljubljana,angelicum,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000642#tab5
GCA_002086485.1,,,99.84,,aquaticum,environmental,Y,-,+,+,,,rapid,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002103#tab2
GCF_002086485.1,,,99.84,,aquaticum,environmental,Y,-,+,+,,,rapid,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002103#tab3
GCA_002086125.1,,,99.56,,arosiense,host adapted,Y,-,-,+,42,,slow,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187642/
GCF_002086125.1,,,99.56,,arosiense,host adapted,Y,-,-,+,42,,slow,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187642/
GCA_001673365.1,,27/09/2012,97.81,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001673365.1,,27/09/2012,97.81,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001673165.1,,30/06/2014,97.84,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001673165.1,,30/06/2014,97.84,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001673315.1,,31/07/2012,98.16,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001673315.1,,31/07/2012,98.16,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001668675.1,,23/03/2015,98.19,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001668675.1,,23/03/2015,98.19,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001672925.1,,20/08/2012,98.48,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001672925.1,,20/08/2012,98.48,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001673345.1,,07/08/2012,98.67,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001673345.1,,07/08/2012,98.67,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001669345.1,,23/01/2013,98.88,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001669345.1,,23/01/2013,98.88,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_001673635.1,,19/02/2013,99.5,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_001673635.1,,19/02/2013,99.5,Mozambique,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_000613245.1,,,95.37,,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_000613245.1,,,95.37,,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_002086545.1,,,98.35,,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCF_002086545.1,,,98.35,,asiaticum,host adapted,Y,-,+,+,37,,slow,https://www.jstor.org/stable/4452649?seq=2
GCA_900566065.1,Homo sapiens,1997,99.52,Switzerland,attenuatum,environmental,Y,-,-,+,37,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003378?crawler=true
GCA_900566085.1,Homo sapiens,1997,99.52,Switzerland,attenuatum,environmental,Y,-,-,+,37,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003378?crawler=true
GCF_900566065.1,Homo sapiens,1997,99.52,Switzerland,attenuatum,environmental,Y,-,-,+,37,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003378?crawler=true
GCF_900566085.1,Homo sapiens,1997,99.52,Switzerland,attenuatum,environmental,Y,-,-,+,37,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003378?crawler=true
GCA_900566105.1,Homo sapiens,1997,99.59,Switzerland,attenuatum,environmental,Y,-,-,+,37,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003378?crawler=true
GCF_900566105.1,Homo sapiens,1997,99.59,Switzerland,attenuatum,environmental,Y,-,-,+,37,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003378?crawler=true
GCA_902385675.1,,,94.18,Australia,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_902385675.1,,,94.18,Australia,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_003640565.1,Bovine,25/09/2016,95.17,China: Jilin,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_003640565.1,Bovine,25/09/2016,95.17,China: Jilin,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217925.1,Homo sapiens,27/06/2018,95.81,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217945.1,Homo sapiens,22/12/2016,95.81,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217925.1,Homo sapiens,27/06/2018,95.81,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217945.1,Homo sapiens,22/12/2016,95.81,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_032907725.1,Pink-headed fruit dove (Ptilinopus porphyreus),2017,95.84,Germany: Lower Saxony,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_032907725.1,Pink-headed fruit dove (Ptilinopus porphyreus),2017,95.84,Germany: Lower Saxony,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020218005.1,Homo sapiens,05/05/2016,96.31,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020218005.1,Homo sapiens,05/05/2016,96.31,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217985.1,Homo sapiens,02/08/2018,96.52,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217985.1,Homo sapiens,02/08/2018,96.52,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217505.1,Homo sapiens,02/09/2014,96.78,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217505.1,Homo sapiens,02/09/2014,96.78,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217785.1,Homo sapiens,25/01/2013,96.96,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217785.1,Homo sapiens,25/01/2013,96.96,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217885.1,Homo sapiens,13/12/2016,96.97,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217885.1,Homo sapiens,13/12/2016,96.97,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217615.1,Homo sapiens,18/09/2009,97.08,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217615.1,Homo sapiens,18/09/2009,97.08,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217545.1,Homo sapiens,03/03/2016,97.09,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217545.1,Homo sapiens,03/03/2016,97.09,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292735.1,Homo sapiens,2015,97.1,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292735.1,Homo sapiens,2015,97.1,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217495.1,Homo sapiens,19/01/2016,97.24,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217495.1,Homo sapiens,19/01/2016,97.24,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_020217865.1,Homo sapiens,27/02/2017,97.34,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_020217865.1,Homo sapiens,27/02/2017,97.34,USA: Missouri St. Louis,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292725.1,Homo sapiens,2015,97.41,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292725.1,Homo sapiens,2015,97.41,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292435.1,Homo sapiens,2015,97.48,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292435.1,Homo sapiens,2015,97.48,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_001683455.1,duck,24/08/2015,97.49,China: Chengdu,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_001683455.1,duck,24/08/2015,97.49,China: Chengdu,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292705.1,Homo sapiens,2016,97.69,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292705.1,Homo sapiens,2016,97.69,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292595.1,Homo sapiens,2014,97.7,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292595.1,Homo sapiens,2014,97.7,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292445.1,Homo sapiens,2016,97.72,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292655.1,Homo sapiens,2014,97.72,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292445.1,Homo sapiens,2016,97.72,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292655.1,Homo sapiens,2014,97.72,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_032907405.1,pig,09/07/2007,97.73,Germany: Thuringia,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_032907405.1,pig,09/07/2007,97.73,Germany: Thuringia,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292425.1,Homo sapiens,2015,97.77,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292425.1,Homo sapiens,2015,97.77,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292585.1,Homo sapiens,2014,97.8,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292585.1,Homo sapiens,2014,97.8,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292505.1,Homo sapiens,2013,97.83,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292635.1,Homo sapiens,2014,97.83,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292505.1,Homo sapiens,2013,97.83,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292635.1,Homo sapiens,2014,97.83,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_002292545.1,Homo sapiens,2014,98.03,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_015708165.1,Homo sapiens,2008,98.03,Spain,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_002292545.1,Homo sapiens,2014,98.03,USA,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_015708165.1,Homo sapiens,2008,98.03,Spain,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCA_032907705.1,Red-crowned parakeet (Cyanoramphus novaezelandiae),2017,98.04,Germany: North Rhine-Westphalia,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
GCF_032907705.1,Red-crowned parakeet (Cyanoramphus novaezelandiae),2017,98.04,Germany: North Rhine-Westphalia,avium,host adapted,Y,-,-,+,34.5,5.4-6.5,slow,"https://www.ncbi.nlm.nih.gov/books/NBK431110/#:~:text=the%20Runyon%20classification.-,M.,28%20C%20to%2038.5%20C. https://pubmed.ncbi.nlm.nih.gov/15845232/"
